Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0572875426150859,-0.0801766144577414,-0.125023667269852,0,0,0,1.37088974358268,0.0110007758484815,6.30725217071683E-21,-4.56603698129271E-19,0.0135005634933447,1.35450825305558E-19,0.00269988156811165,0,0,0,0,0,0,package://FourStickedBody/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FourStickedBody/meshes/base_link.STL,,Stick4-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FLShoulder,-0.00802562474482291,-0.00937838395684484,-0.0150000041413501,0,0,0,0.0380904123808196,8.22818106409756E-06,-3.24120160645022E-06,5.24378206058208E-12,1.39259945891085E-05,3.02596913848168E-13,1.67443920898861E-05,0,0,0,0,0,0,package://FourStickedBody/meshes/FLShoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FourStickedBody/meshes/FLShoulder.STL,,Stick3-2,Origin_FLShoulder,FLShoulder,FLShoulder,continuous,-0.11729,-0.024976,-0.080177,-1.5708,-1.5146,0,base_link,0,0,-1,,,,,,,,,,,,
FLUpper,-1.38777878078145E-17,0.0517481888371821,0.00631330305514961,0,0,0,0.0435443386505745,8.17019889821495E-05,8.0256371752345E-20,3.46355763211349E-22,3.95469594018177E-06,3.13712635017228E-06,8.3329545582726E-05,0,0,0,0,0,0,package://FourStickedBody/meshes/FLUpper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FourStickedBody/meshes/FLUpper.STL,,Stick2-4,Origin_FLUpper,FLUpper,FLUpper,continuous,-0.04,-0.00507890825442417,-0.015,1.5707963267949,-0.990481798126781,0,FLShoulder,0,0,1,,,,,,,,,,,,
FLLower,1.38777878078145E-17,-0.0498758392155302,0.013583176614747,0,0,0,0.0453114845182188,8.74545044586466E-05,4.31986803099693E-20,-4.96458509177453E-21,3.99756423744962E-06,3.02361904746636E-06,8.90888937394829E-05,0,0,0,0,0,0,package://FourStickedBody/meshes/FLLower.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FourStickedBody/meshes/FLLower.STL,,Stick1-4,Origin_FLLower,FLLower,FLLower,continuous,0,0.12,0,0,0,-2.181,FLUpper,0,0,-1,,,,,,,,,,,,
FRShoulder,-0.0080256,-0.0093784,0.015,0,0,0,0.03809,8.2282E-06,-3.2412E-06,5.4265E-12,1.3926E-05,2.6277E-13,1.6744E-05,0,0,0,0,0,0,package://FourStickedBody/meshes/FRShoulder.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FourStickedBody/meshes/FRShoulder.STL,,Stick3-1,Origin_FRShoulder,FRShoulder,FRShoulder,continuous,0.0027125,-0.024976,-0.080177,-1.5708,-1.4926,3.1416,base_link,0,0,1,,,,,,,,,,,,
FRUpper,0,0.051748188837182,0.0181615498230934,0,0,0,0.0435443386505745,8.17019889821495E-05,-2.77403290225783E-20,2.67176156494147E-21,3.95469594018179E-06,3.13712635017226E-06,8.33295455827261E-05,0,0,0,0,0,0,package://FourStickedBody/meshes/FRUpper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FourStickedBody/meshes/FRUpper.STL,,Stick2-2,Origin_FRUpper,FRUpper,FRUpper,continuous,-0.04,0.00676933851351959,0.015,-1.5707963267949,-1.21616154826317,-3.14159265358979,FRShoulder,0,0,1,,,,,,,,,,,,
FRLower,0,-0.0498758392155302,0.0300232487438312,0,0,0,0.0453114845182188,8.74545044586465E-05,-6.16216469127503E-20,1.4222588364364E-21,3.99756423744963E-06,3.02361904746645E-06,8.90888937394827E-05,0,0,0,0,0,0,package://FourStickedBody/meshes/FRLower.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FourStickedBody/meshes/FRLower.STL,,Stick1-1,Origin_FRLower,FRLower,FRLower,continuous,0,0.12,-0.00459182536114035,0,0,2.28311065724853,FRUpper,0,0,-1,,,,,,,,,,,,
BLShoulder,-0.00802562794245548,-0.00937838212341552,0.0149999995569143,0,0,0,0.0380904173619555,8.22818141301055E-06,-3.24120085791354E-06,6.40681352299785E-12,1.39259975911142E-05,-2.15471813802222E-14,1.67443958034683E-05,0,0,0,0,0,0,package://FourStickedBody/meshes/BLShoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FourStickedBody/meshes/BLShoulder.STL,,Stick3-4,Origin_BLShoulder,BLShoulder,BLShoulder,continuous,-0.11729,0.27502,-0.080177,-1.5708,-1.3344,0,base_link,0,0,1,,,,,,,,,,,,
BLUpper,-1.1102E-16,0.051748,0.0050209,0,0,0,0.043544,8.1702E-05,1.4643E-19,-8.32E-21,3.9547E-06,3.1371E-06,8.333E-05,0,0,0,0,0,0,package://FourStickedBody/meshes/BLUpper.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FourStickedBody/meshes/BLUpper.STL,,Stick2-3,Origin_BLUpper,BLUpper,BLUpper,continuous,-0.04,-0.00637134747104802,0.015,1.57079632679489,-1.20166853376716,0,BLShoulder,0,0,1,,,,,,,,,,,,
BLLower,-1.11022302462516E-16,-0.0498758392155301,0.0122907373981234,0,0,0,0.0453114845182188,8.74545044586466E-05,-1.11808349037568E-19,3.94340252476676E-21,3.99756423744963E-06,3.0236190474665E-06,8.90888937394828E-05,0,0,0,0,0,0,package://FourStickedBody/meshes/BLLower.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FourStickedBody/meshes/BLLower.STL,,Stick1-3,Origin_BLLower,BLLower,BLLower,continuous,0,0.12,0,0,0,-1.91007720746634,BLUpper,0,0,-1,,,,,,,,,,,,
